authorities_contacted authorities_contacted,collision_type collision_type,fraud_reported fraud_reported,incident_severity incident_severity,incident_type incident_type,insured_education_level insured_education_level,insured_occupation insured_occupation,insured_relationship insured_relationship,insured_sex insured_sex,police_report_available police_report_available,policy_csl policy_csl,property_damage property_damage,Risk_Level Risk_Level,Actual Actual,age age,bodily_injuries bodily_injuries,capital-gains capital-gains,capital-loss capital-loss,claim_deviation claim_deviation,claim_ratio claim_ratio,claimscount,Fraud_Probability Fraud_Probability,incident_hour_of_the_day incident_hour_of_the_day,injury_claim injury_claim,months_as_customer months_as_customer,number_of_vehicles_involved number_of_vehicles_involved,policy_age_days policy_age_days,policy_annual_premium policy_annual_premium,policy_deductable policy_deductable,Predicted Predicted,property_claim property_claim,row_count,tetx,total_claim_amount total_claim_amount,umbrella_limit umbrella_limit,vehicle_claim vehicle_claim,witnesses witnesses
Other,Front Collision,Y,Major Damage,Multi-vehicle Collision,JD,handlers-cleaners,not-in-family,MALE,unknown,500/1000,NO,High Risk,1,30,0,0,-35500,8481.05,6.998944352,1,0.739265187,8,6630,116,3,4811,951.46,500,1,6630,1,0,59670,0,46410,3
Other,Rear Collision,N,Minor Damage,Multi-vehicle Collision,JD,armed-forces,unmarried,MALE,unknown,100/300,YES,Low Risk,0,40,2,49600,-49200,19121.05,6.999141210,1,0.188142185,17,16300,222,2,759,1226.78,1000,0,8150,1,0,81500,0,57050,0
Ambulance,Rear Collision,N,Minor Damage,Single Vehicle Collision,High School,armed-forces,own-child,MALE,unknown,100/300,NO,Low Risk,0,56,2,48900,-40900,-7928.95,5.998800240,1,0.139489798,9,15000,439,1,6473,1280.9,500,0,5000,1,0,50000,0,30000,0
Other,Front Collision,N,Total Loss,Single Vehicle Collision,Associate,adm-clerical,husband,MALE,unknown,100/300,unknown,Low Risk,0,28,2,0,-31700,-7198.95,3.499601412,1,0.172825630,0,8780,66,1,7692,1472.77,2000,0,8780,1,0,48290,0,30730,1
Fire,Rear Collision,N,Total Loss,Single Vehicle Collision,High School,other-service,husband,MALE,unknown,500/1000,NO,Low Risk,0,29,0,0,-76000,10401.05,8.998324334,1,0.208743105,2,5370,128,1,1569,1878.44,1000,1,5370,1,0,59070,0,48330,0
Police,Rear Collision,N,Minor Damage,Multi-vehicle Collision,High School,armed-forces,other-relative,FEMALE,NO,500/1000,unknown,Low Risk,0,24,0,0,0,6381.05,6.998894329,1,0.143780960,23,12660,69,3,8265,1418.5,500,0,6330,1,0,63300,0,44310,0
Other,Side Collision,N,Total Loss,Single Vehicle Collision,College,prof-specialty,own-child,MALE,YES,100/300,NO,Low Risk,0,46,0,0,0,3931.05,3.499707382,1,0.204883529,8,11960,294,1,1727,1532.8,500,1,11960,1,0,65780,0,41860,3
Ambulance,Front Collision,Y,Total Loss,Multi-vehicle Collision,JD,transport-moving,not-in-family,MALE,unknown,250/500,NO,Medium Risk,1,29,0,0,0,14271.05,4.499612102,1,0.625692145,6,11600,19,3,4502,1304.35,500,1,11600,1,0,75400,0,52200,2
unknown,unknown,N,Minor Damage,Vehicle Theft,High School,armed-forces,unmarried,MALE,NO,500/1000,YES,Low Risk,0,33,1,45000,-30400,-36178.95,6.972111554,1,0.081668931,3,250,191,1,2553,1551.61,2000,0,250,1,0,2250,0,1750,1
Ambulance,Front Collision,N,Minor Damage,Multi-vehicle Collision,High School,machine-op-inspct,unmarried,FEMALE,unknown,100/300,YES,Low Risk,0,39,1,64200,0,2661.05,4.499501164,1,0.157546141,14,4510,4,3,6704,1326.98,1000,0,9020,1,0,54120,6000000,40590,3
Other,Side Collision,N,Major Damage,Multi-vehicle Collision,MD,machine-op-inspct,wife,MALE,NO,250/500,NO,Medium Risk,0,49,0,0,-71700,8391.05,3.999654607,1,0.468341127,16,11580,298,3,6151,862.92,500,1,11580,1,0,69480,0,46320,2
Police,Rear Collision,N,Minor Damage,Single Vehicle Collision,Masters,adm-clerical,not-in-family,FEMALE,NO,100/300,unknown,Low Risk,0,43,1,0,0,8421.05,4.499563149,1,0.255395611,12,10300,231,1,1763,1331.69,2000,1,10300,1,0,66950,0,46350,2
Other,Rear Collision,Y,Major Damage,Multi-vehicle Collision,Associate,armed-forces,own-child,FEMALE,unknown,250/500,NO,Medium Risk,1,47,2,0,-56200,6941.05,6.998908127,1,0.559463416,1,12820,338,3,2546,1486.04,2000,1,6410,1,0,64100,0,44870,3
Other,Rear Collision,N,Minor Damage,Single Vehicle Collision,PhD,prof-specialty,unmarried,MALE,unknown,100/300,unknown,Low Risk,0,46,0,0,-49400,15591.05,3.999701069,1,0.152431103,19,13380,261,1,5252,870.55,1000,0,13380,1,0,80280,0,53520,3
Police,unknown,N,Trivial Damage,Vehicle Theft,Associate,machine-op-inspct,husband,MALE,NO,500/1000,unknown,Low Risk,0,44,1,0,-39100,-33768.95,4160,1,0.094111224,7,520,321,1,2486,1344.56,2000,0,0,1,0,4680,6000000,4160,2
Ambulance,Rear Collision,N,Minor Damage,Multi-vehicle Collision,College,tech-support,wife,MALE,NO,500/1000,unknown,Low Risk,0,32,1,61400,-41100,-11448.95,3.999395862,1,0.108829533,6,6620,0,4,1429,1377.04,1000,0,6620,1,0,39720,0,26480,1
Police,Front Collision,Y,Major Damage,Single Vehicle Collision,MD,exec-managerial,not-in-family,MALE,unknown,250/500,unknown,Medium Risk,1,58,0,0,-46900,14091.05,8.998443176,1,0.505893394,11,5780,405,1,994,1237.88,500,1,5780,1,0,63580,0,52020,0
Other,Side Collision,N,Minor Damage,Single Vehicle Collision,PhD,craft-repair,own-child,FEMALE,YES,100/300,YES,Low Risk,0,49,1,0,0,15431.05,7.998800779,1,0.303313252,2,13340,304,1,4866,1525.86,1000,1,6670,1,0,73370,0,53360,1
Police,Side Collision,N,Minor Damage,Single Vehicle Collision,JD,craft-repair,other-relative,FEMALE,YES,500/1000,unknown,Low Risk,0,29,2,52200,0,17301.05,2.333234760,1,0.188585483,15,7890,1,1,3144,854.58,500,0,23670,1,0,86790,0,55230,3
Police,Side Collision,N,Major Damage,Single Vehicle Collision,Masters,tech-support,husband,MALE,unknown,250/500,NO,Low Risk,0,39,0,0,-53700,-3068.95,6.998594660,1,0.296782395,0,9960,26,1,8420,770.76,1000,1,4980,1,0,49800,0,34860,2
Other,Side Collision,N,Major Damage,Single Vehicle Collision,Associate,armed-forces,husband,FEMALE,NO,100/300,YES,Medium Risk,0,38,1,0,-37500,18391.05,3.999715929,1,0.453523395,12,7040,202,1,2202,1132.74,2000,1,14080,1,0,77440,0,56320,1
Other,Front Collision,N,Total Loss,Single Vehicle Collision,PhD,handlers-cleaners,own-child,FEMALE,unknown,500/1000,unknown,Low Risk,0,48,1,0,-42700,-3608.95,34320,1,0.101383117,1,8580,289,1,7073,1173.37,500,0,0,1,0,42900,8000000,34320,0
Fire,Rear Collision,Y,Major Damage,Multi-vehicle Collision,JD,farming-fishing,wife,FEMALE,NO,100/300,YES,High Risk,1,26,1,0,-53800,-2048.95,5.998996823,1,0.748388848,16,11960,61,2,1294,1188.28,2000,1,5980,1,0,53820,6000000,35880,0
Police,Rear Collision,N,Minor Damage,Single Vehicle Collision,MD,sales,other-relative,MALE,NO,100/300,NO,Low Risk,0,46,2,0,0,291.050000000,5.999058233,1,0.214424917,2,12740,334,1,728,876.88,1000,1,6370,1,0,57330,6000000,38220,1
Police,Rear Collision,N,Minor Damage,Multi-vehicle Collision,PhD,tech-support,other-relative,FEMALE,unknown,500/1000,NO,Low Risk,0,24,2,51400,0,3581.05,6.998819761,1,0.267113942,13,5930,12,3,7383,1143.95,1000,1,5930,1,0,53370,0,41510,1
Police,Front Collision,N,Minor Damage,Single Vehicle Collision,High School,prof-specialty,husband,MALE,YES,100/300,NO,Low Risk,0,29,2,74200,-68100,791.050000000,2.666483025,1,0.091339762,0,9680,86,1,153,1409.06,2000,0,14520,1,0,62920,0,38720,2
Fire,Front Collision,N,Total Loss,Multi-vehicle Collision,High School,machine-op-inspct,unmarried,FEMALE,NO,500/1000,unknown,Low Risk,0,24,0,0,0,5191.05,3.499715932,1,0.242453658,0,6160,83,3,3337,1070.63,1000,1,12320,1,0,61600,0,43120,1
Police,Rear Collision,N,Total Loss,Multi-vehicle Collision,College,sales,unmarried,MALE,NO,500/1000,YES,Low Risk,0,30,2,55300,-58400,17691.05,4.499635952,1,0.233307400,16,6180,126,3,5963,916.13,2000,1,12360,1,0,74160,0,55620,0
Police,Rear Collision,N,Total Loss,Single Vehicle Collision,High School,priv-house-serv,husband,MALE,unknown,250/500,NO,Low Risk,0,38,2,38600,-52900,24371.05,6.999213572,1,0.185285113,8,8900,209,1,1829,1191.5,500,0,8900,1,0,80100,0,62300,0
Police,unknown,N,Trivial Damage,Parked Car,JD,sales,husband,FEMALE,NO,500/1000,unknown,Low Risk,0,48,2,0,-46200,-33008.95,5.992691839,1,0.063523292,9,820,283,1,4427,1474.66,1000,0,820,1,0,6560,0,4920,3
Ambulance,Rear Collision,N,Total Loss,Single Vehicle Collision,JD,other-service,not-in-family,MALE,YES,250/500,unknown,Low Risk,0,34,2,0,0,3231.05,6.998809726,1,0.306466613,11,11760,194,1,3897,1193.45,1000,1,5880,1,0,58800,0,41160,1
Ambulance,Side Collision,Y,Minor Damage,Multi-vehicle Collision,College,transport-moving,not-in-family,FEMALE,NO,250/500,unknown,Medium Risk,1,38,0,0,0,-2108.95,5.998995143,1,0.594967763,6,11940,184,3,7448,1437.53,1000,1,5970,1,0,53730,0,35820,2
Ambulance,Rear Collision,N,Total Loss,Single Vehicle Collision,College,other-service,husband,FEMALE,NO,100/300,NO,Low Risk,0,60,0,0,0,7521.05,4.499554500,1,0.334100188,18,5050,479,1,6395,1304.83,2000,1,10100,1,0,60600,0,45450,0
Other,Side Collision,N,Total Loss,Single Vehicle Collision,JD,tech-support,other-relative,FEMALE,YES,250/500,unknown,Low Risk,0,48,0,0,-42400,-11928.95,7.997539219,1,0.071160692,11,6500,284,1,8765,1168.8,1000,0,3250,1,0,35750,0,26000,3
Ambulance,Front Collision,N,Total Loss,Single Vehicle Collision,College,adm-clerical,wife,FEMALE,YES,100/300,unknown,Low Risk,0,27,1,43000,-42500,-5798.95,4.499369836,1,0.230536058,17,3570,65,1,4858,1164.97,1000,1,7140,1,0,42840,0,32130,2
Fire,Front Collision,Y,Major Damage,Multi-vehicle Collision,High School,armed-forces,own-child,MALE,NO,250/500,unknown,Medium Risk,1,39,1,87800,-51200,20711.05,3.999727167,1,0.670640120,21,14660,222,3,1126,1232.72,1000,1,14660,1,0,87960,0,58640,0
Ambulance,Rear Collision,N,Minor Damage,Multi-vehicle Collision,JD,protective-serv,other-relative,MALE,NO,250/500,NO,Low Risk,0,41,1,0,-78600,311.050000000,7.998326710,1,0.187656898,0,4780,196,3,4941,1800.76,2000,0,4780,1,0,47800,0,38240,0
Police,unknown,N,Trivial Damage,Vehicle Theft,Associate,tech-support,unmarried,FEMALE,unknown,500/1000,NO,Low Risk,0,43,0,46300,-33000,-35368.95,3.993759750,1,0.035320945,9,640,253,1,8580,1187.01,500,0,640,1,0,3840,7000000,2560,1
Fire,Front Collision,N,Total Loss,Single Vehicle Collision,JD,transport-moving,own-child,MALE,unknown,100/300,NO,Low Risk,0,43,0,0,-51600,18071.05,7.998857306,1,0.220443144,1,14000,280,1,938,1559.34,1000,1,7000,1,0,77000,0,56000,2
Ambulance,Rear Collision,N,Total Loss,Single Vehicle Collision,PhD,farming-fishing,not-in-family,FEMALE,unknown,250/500,YES,Low Risk,0,26,1,31500,0,18141.05,3.499781537,1,0.203018304,22,16020,5,1,182,1137.02,2000,1,16020,1,0,88110,0,56070,3
Fire,Rear Collision,N,Minor Damage,Multi-vehicle Collision,College,farming-fishing,other-relative,MALE,YES,100/300,NO,Low Risk,0,42,0,33500,-49500,1131.05,8.997926745,1,0.246498382,20,4340,220,4,7494,1281.72,1000,1,4340,1,0,47740,0,39060,2
Fire,Rear Collision,N,Total Loss,Multi-vehicle Collision,MD,craft-repair,own-child,FEMALE,YES,100/300,YES,Low Risk,0,30,2,72400,-77000,4951.05,3.999626900,1,0.309475252,9,5360,85,3,4821,796.35,1000,1,10720,1,0,58960,0,42880,1
Police,unknown,N,Minor Damage,Parked Car,Associate,tech-support,own-child,FEMALE,unknown,250/500,NO,Low Risk,0,46,1,0,-45800,-36488.95,5.975103734,1,0.061959785,5,480,266,1,9066,1270.02,500,0,240,1,0,2160,0,1440,2
Police,unknown,N,Trivial Damage,Vehicle Theft,JD,prof-specialty,own-child,FEMALE,unknown,100/300,YES,Low Risk,0,26,1,46700,0,-32628.95,4.995287465,1,0.083174389,12,530,41,1,3259,1383.13,1000,0,1060,1,0,6890,0,5300,1
Ambulance,Side Collision,N,Major Damage,Multi-vehicle Collision,High School,prof-specialty,husband,FEMALE,YES,100/300,NO,Low Risk,0,45,2,58300,0,19431.05,3.999721079,1,0.380076329,6,7170,316,3,416,1290.74,2000,1,14340,1,0,78870,5000000,57360,0
Police,unknown,N,Trivial Damage,Vehicle Theft,Masters,sales,other-relative,FEMALE,NO,100/300,NO,Low Risk,0,47,1,55100,0,-35828.95,6.976744186,1,0.042765478,8,300,285,1,8499,1216.68,1000,0,300,1,0,2700,0,2100,1
Ambulance,Front Collision,N,Total Loss,Single Vehicle Collision,Associate,machine-op-inspct,not-in-family,FEMALE,NO,100/300,unknown,Low Risk,0,54,0,41400,0,25371.05,9.998420471,1,0.355115043,14,6330,379,1,4798,1251.16,500,1,6330,1,0,75960,0,63300,1
Police,Front Collision,Y,Major Damage,Single Vehicle Collision,High School,sales,other-relative,FEMALE,unknown,250/500,YES,High Risk,1,34,1,33500,-58900,17031.05,3.999708900,1,0.706901835,10,6870,15,1,3575,1586.41,2000,1,13740,1,0,75570,0,54960,3
Police,Front Collision,N,Minor Damage,Single Vehicle Collision,Masters,sales,unmarried,FEMALE,YES,500/1000,unknown,Low Risk,0,48,2,0,0,22231.05,3.999734060,1,0.208664802,12,15040,354,1,4288,1526.11,2000,1,15040,1,0,90240,5000000,60160,3
Ambulance,Front Collision,N,Major Damage,Single Vehicle Collision,College,prof-specialty,not-in-family,FEMALE,NO,100/300,unknown,Medium Risk,0,53,0,0,0,20951.05,7.998913191,1,0.430318687,12,14720,342,1,3360,1028.44,1000,1,7360,1,0,80960,0,58880,0
Other,Front Collision,N,Total Loss,Multi-vehicle Collision,PhD,craft-repair,own-child,MALE,YES,100/300,NO,Low Risk,0,38,1,23300,0,21381.05,4.499658599,1,0.183258921,12,6590,169,3,3670,1555.94,1000,0,13180,1,0,79080,0,59310,3
unknown,unknown,N,Minor Damage,Vehicle Theft,JD,adm-clerical,not-in-family,MALE,NO,500/1000,NO,Low Risk,0,49,0,98800,-65300,-32968.95,7.987117552,1,0.046502786,13,1240,339,1,7643,1570.77,2000,0,620,1,0,6820,0,4960,3
Fire,Rear Collision,N,Total Loss,Multi-vehicle Collision,PhD,armed-forces,wife,FEMALE,YES,100/300,NO,Low Risk,0,42,1,65000,-49200,7591.05,3.999648537,1,0.356579050,17,5690,259,3,6929,1170.53,2000,1,11380,1,0,62590,0,45520,2
Other,Side Collision,Y,Major Damage,Single Vehicle Collision,College,sales,wife,FEMALE,YES,250/500,NO,Medium Risk,1,23,1,0,-71900,1371.05,5.999084109,1,0.595429270,14,6550,65,1,5513,1099.95,1000,1,6550,1,0,52400,0,39300,0
Ambulance,Front Collision,N,Major Damage,Multi-vehicle Collision,MD,tech-support,husband,MALE,YES,250/500,unknown,Medium Risk,0,46,1,0,-90600,8311.05,3.999654009,1,0.447819503,3,5780,254,3,3831,1472.43,2000,1,11560,1,0,63580,0,46240,3
Police,Side Collision,N,Minor Damage,Multi-vehicle Collision,Associate,priv-house-serv,other-relative,FEMALE,NO,250/500,YES,Low Risk,0,55,2,0,-56200,11191.05,7.998697281,1,0.218543628,18,6140,440,3,807,1275.62,500,1,6140,1,0,61400,0,49120,1
unknown,unknown,Y,Minor Damage,Parked Car,High School,adm-clerical,own-child,MALE,NO,250/500,YES,Medium Risk,1,63,1,47600,0,-34638.95,6.985138004,1,0.600665929,5,940,478,1,2063,1292.3,1000,1,470,1,0,4700,0,3290,3
Fire,Front Collision,N,Total Loss,Single Vehicle Collision,College,prof-specialty,other-relative,FEMALE,YES,250/500,NO,Low Risk,0,44,0,45400,-39400,9251.05,3.499740375,1,0.323724636,19,13480,230,1,5349,1009.37,2000,1,13480,1,0,74140,0,47180,2
Other,Front Collision,N,Major Damage,Single Vehicle Collision,PhD,other-service,wife,FEMALE,NO,500/1000,unknown,Medium Risk,0,30,2,27700,-72400,24441.05,4.499675348,1,0.594281497,0,6930,138,1,4745,1093.07,500,1,13860,1,0,83160,4000000,62370,2
Police,unknown,N,Trivial Damage,Parked Car,JD,farming-fishing,other-relative,FEMALE,YES,250/500,unknown,Low Risk,0,41,0,51400,-6300,-29628.95,9.987966306,1,0.063407536,22,1660,239,1,464,1325.44,1000,0,830,1,0,10790,7000000,8300,2
Police,Rear Collision,N,Major Damage,Multi-vehicle Collision,MD,prof-specialty,husband,FEMALE,NO,100/300,YES,Low Risk,0,31,1,0,0,-7338.95,3.499599588,1,0.343000943,21,8740,93,3,2591,1017.18,2000,1,8740,1,0,48070,0,30590,3
Ambulance,Rear Collision,N,Minor Damage,Multi-vehicle Collision,Masters,protective-serv,not-in-family,FEMALE,YES,100/300,YES,Low Risk,0,25,0,49300,0,-3908.95,2.999735473,1,0.187203621,4,5670,37,3,4344,1221.17,1000,0,11340,1,0,51030,0,34020,0
Fire,Front Collision,Y,Minor Damage,Single Vehicle Collision,MD,prof-specialty,husband,MALE,unknown,100/300,YES,High Risk,1,40,0,0,0,-58.950000000,6.998706339,1,0.700286507,10,0,254,1,7533,1927.87,500,1,5410,1,0,43280,0,37870,1
Fire,Front Collision,N,Major Damage,Single Vehicle Collision,Associate,sales,own-child,FEMALE,NO,250/500,unknown,Medium Risk,0,29,1,65700,0,15551.05,6.999083890,1,0.407337617,5,15280,131,1,579,978.27,1000,1,7640,1,0,76400,0,53480,3
Ambulance,Side Collision,N,Total Loss,Single Vehicle Collision,MD,prof-specialty,wife,MALE,unknown,100/300,unknown,Low Risk,0,43,0,48100,0,10091.05,3.499744917,1,0.353321310,13,13720,230,1,4574,1221.14,2000,1,13720,1,0,75460,0,48020,2
Other,Side Collision,Y,Major Damage,Multi-vehicle Collision,MD,armed-forces,unmarried,MALE,YES,100/300,YES,High Risk,1,50,2,0,0,10371.05,6.998985654,1,0.719173526,18,13800,313,3,3869,1255.62,2000,1,6900,1,0,69000,0,48300,1
Police,unknown,N,Minor Damage,Vehicle Theft,JD,tech-support,other-relative,MALE,NO,250/500,unknown,Low Risk,0,38,1,0,0,-31448.95,8.987517337,1,0.041883653,6,1440,210,1,5869,999.52,500,0,720,1,0,8640,0,6480,2
Ambulance,Rear Collision,N,Minor Damage,Multi-vehicle Collision,PhD,armed-forces,own-child,MALE,unknown,250/500,unknown,Low Risk,0,29,2,30000,-53000,4841.05,3.499713608,1,0.181355006,0,12220,101,3,181,1380.89,500,0,12220,1,0,67210,0,42770,1
Ambulance,Side Collision,N,Total Loss,Multi-vehicle Collision,High School,transport-moving,unmarried,MALE,NO,500/1000,unknown,Low Risk,0,37,0,52300,-55600,-3928.95,7.998118090,1,0.126662651,5,4250,153,3,3354,1010.77,500,0,4250,1,0,42500,0,34000,3
Fire,Rear Collision,N,Minor Damage,Single Vehicle Collision,Associate,armed-forces,wife,MALE,NO,100/300,YES,Low Risk,0,53,0,0,-34600,26871.05,8.998750174,1,0.237894359,8,14400,337,1,5386,1205.86,500,1,7200,1,0,86400,0,64800,1
Police,unknown,Y,Minor Damage,Vehicle Theft,Masters,handlers-cleaners,not-in-family,MALE,unknown,500/1000,YES,Low Risk,1,51,2,0,-32900,-34988.95,3.495838288,1,0.212170520,5,840,360,1,4813,1526.61,1000,1,840,1,0,4620,0,2940,2
Police,unknown,N,Trivial Damage,Parked Car,High School,tech-support,unmarried,FEMALE,NO,100/300,YES,Low Risk,0,53,2,0,0,-32888.95,3.996827914,1,0.084624758,9,630,428,1,286,1496.44,1000,0,1260,1,0,6930,0,5040,2
Other,Side Collision,N,Minor Damage,Multi-vehicle Collision,JD,sales,not-in-family,FEMALE,YES,100/300,YES,Low Risk,0,40,1,0,0,-12908.95,2.999640331,1,0.105734876,10,8340,204,3,8746,1256.2,500,0,8340,1,0,41700,0,25020,2
Other,Rear Collision,Y,Major Damage,Single Vehicle Collision,Masters,transport-moving,wife,MALE,NO,100/300,YES,High Risk,1,51,2,0,0,11281.05,3.499751085,1,0.756815597,16,14060,364,1,8292,1268.35,500,1,14060,1,0,77330,0,49210,1
Police,unknown,N,Trivial Damage,Vehicle Theft,College,other-service,own-child,MALE,YES,500/1000,unknown,Low Risk,0,35,2,0,0,-34328.95,7.982261641,1,0.153968065,8,900,185,1,5446,1421.59,2000,0,450,1,0,4950,0,3600,3
Police,unknown,N,Minor Damage,Vehicle Theft,PhD,craft-repair,own-child,MALE,YES,500/1000,NO,Low Risk,0,26,0,0,-36500,-34488.95,3.995354239,1,0.064114113,5,860,63,1,7064,1500.04,500,0,860,1,0,5160,6000000,3440,2
Fire,Side Collision,Y,Total Loss,Multi-vehicle Collision,College,exec-managerial,not-in-family,FEMALE,unknown,100/300,NO,Medium Risk,1,35,2,0,-19500,-18818.95,6.997436836,1,0.639843177,11,2730,210,3,303,1433.24,500,1,2730,1,0,24570,0,19110,1
Ambulance,Rear Collision,N,Minor Damage,Multi-vehicle Collision,PhD,craft-repair,not-in-family,FEMALE,unknown,100/300,unknown,Low Risk,0,38,1,46500,0,1111.05,3.999590206,1,0.252004204,15,4880,194,3,1443,1231.25,2000,1,9760,1,0,53680,0,39040,0
Police,Side Collision,N,Total Loss,Multi-vehicle Collision,Masters,farming-fishing,own-child,MALE,YES,500/1000,YES,Low Risk,0,49,1,22700,0,-2828.95,8.997692899,1,0.150290901,23,3900,294,3,6949,1135.43,500,0,3900,1,0,42900,0,35100,1
Fire,Front Collision,Y,Minor Damage,Single Vehicle Collision,MD,protective-serv,wife,MALE,NO,250/500,NO,Low Risk,1,41,0,38600,-42800,20941.05,6.999167757,1,0.236263787,23,16820,272,1,8703,945.73,2000,1,8410,1,0,84100,5000000,58870,0
Fire,Front Collision,N,Total Loss,Single Vehicle Collision,College,adm-clerical,own-child,FEMALE,unknown,100/300,unknown,Low Risk,0,27,1,0,-55800,9951.05,6.998976758,1,0.242204246,23,6840,27,1,4625,1118.76,2000,1,6840,1,0,61560,0,47880,3
Police,Rear Collision,N,Minor Damage,Single Vehicle Collision,Associate,other-service,not-in-family,FEMALE,unknown,500/1000,YES,Low Risk,0,39,0,0,-31700,-4748.95,5.998915205,1,0.265850165,10,5530,251,1,5753,1231.98,2000,1,5530,1,0,44240,0,33180,0
Ambulance,Rear Collision,N,Minor Damage,Multi-vehicle Collision,JD,protective-serv,own-child,FEMALE,YES,500/1000,unknown,Low Risk,0,33,2,58100,-49000,2461.05,6.998787039,1,0.146392622,12,11540,180,4,2128,1005.47,2000,0,5770,1,0,57700,0,40390,3
Other,Side Collision,N,Minor Damage,Single Vehicle Collision,PhD,exec-managerial,not-in-family,FEMALE,YES,100/300,NO,Low Risk,0,50,2,68400,-66800,36861.05,4.499729258,1,0.138285093,4,16620,392,1,8546,1108.97,2000,0,16620,1,0,108030,0,74790,2
Fire,Rear Collision,N,Minor Damage,Single Vehicle Collision,High School,exec-managerial,unmarried,FEMALE,YES,100/300,NO,Low Risk,0,30,2,0,-65700,81.050000000,6.998711103,1,0.182926426,16,10860,143,1,8446,1392.39,500,0,5430,1,0,54300,5000000,38010,0
Ambulance,Front Collision,Y,Major Damage,Multi-vehicle Collision,High School,craft-repair,wife,MALE,unknown,100/300,unknown,Medium Risk,1,54,1,34700,-81000,-16408.95,3.999256644,1,0.693149874,18,5380,371,3,996,1317.97,2000,1,5380,1,0,32280,0,21520,2
Other,Rear Collision,N,Total Loss,Multi-vehicle Collision,JD,machine-op-inspct,other-relative,MALE,NO,250/500,YES,Low Risk,0,42,1,0,-53800,21291.05,6.999172675,1,0.156863117,15,16920,292,3,2874,1588.22,1000,0,8460,1,0,84600,0,59220,1
Other,Front Collision,N,Total Loss,Single Vehicle Collision,College,craft-repair,own-child,MALE,YES,250/500,NO,Low Risk,0,35,1,0,-49900,17831.05,7.998852388,1,0.175528961,8,6970,165,1,785,900.02,500,0,6970,1,0,69700,6000000,55760,3
Ambulance,Rear Collision,N,Total Loss,Multi-vehicle Collision,JD,prof-specialty,unmarried,MALE,NO,100/300,NO,Low Risk,0,33,0,0,0,-12448.95,3.499519297,1,0.121760378,4,3640,158,3,413,1744.64,1000,0,7280,1,0,36400,3000000,25480,1
Police,Side Collision,N,Minor Damage,Multi-vehicle Collision,JD,adm-clerical,own-child,FEMALE,YES,250/500,NO,Low Risk,0,39,0,0,-54900,-9788.95,5.998720955,1,0.076160099,20,4690,241,3,3587,1260.56,1000,0,4690,1,0,37520,0,28140,2
Ambulance,Side Collision,N,Major Damage,Multi-vehicle Collision,Masters,other-service,wife,FEMALE,unknown,500/1000,NO,Medium Risk,0,33,2,69500,-47700,12401.05,3.499756623,1,0.402830742,1,14380,103,3,7429,1021.14,2000,1,14380,1,0,79090,0,50330,3
Other,Rear Collision,Y,Major Damage,Single Vehicle Collision,JD,farming-fishing,not-in-family,MALE,YES,250/500,NO,High Risk,1,54,0,48000,-79600,7251.05,2.999800810,1,0.741111777,19,7530,402,1,4214,1285.09,2000,1,15060,1,0,67770,0,45180,2
Other,Side Collision,Y,Total Loss,Single Vehicle Collision,JD,tech-support,wife,MALE,NO,100/300,NO,Medium Risk,1,32,1,0,0,-4748.95,6.998523518,1,0.625886310,11,9480,102,1,155,1537.07,500,1,4740,1,0,47400,3000000,33180,0
Other,Front Collision,N,Total Loss,Single Vehicle Collision,PhD,other-service,husband,MALE,unknown,100/300,YES,Low Risk,0,40,0,50000,-56900,11841.05,3.499753885,1,0.289169391,13,7110,182,1,1163,1022.42,1000,1,14220,1,0,71100,0,49770,2
Police,Front Collision,N,Minor Damage,Single Vehicle Collision,MD,other-service,wife,MALE,NO,100/300,unknown,Low Risk,0,46,2,51100,-75100,10651.05,6.998991500,1,0.169176082,2,13880,282,1,8585,1558.86,2000,0,6940,1,0,69400,0,48580,2
Other,Rear Collision,Y,Major Damage,Multi-vehicle Collision,High School,transport-moving,not-in-family,MALE,unknown,500/1000,YES,High Risk,1,39,2,71400,0,2071.05,3.999600040,1,0.704183034,9,5000,222,3,3975,1757.87,500,1,10000,1,0,55000,0,40000,1
Police,Rear Collision,N,Total Loss,Multi-vehicle Collision,PhD,machine-op-inspct,not-in-family,MALE,YES,250/500,YES,Low Risk,0,52,1,50400,0,-2558.95,4.499427554,1,0.157391564,15,7860,415,2,-20,973.5,1000,0,7860,1,0,51090,0,35370,3
Fire,Side Collision,Y,Major Damage,Single Vehicle Collision,PhD,machine-op-inspct,unmarried,MALE,NO,500/1000,unknown,High Risk,1,34,2,0,0,591.050000000,1.999896163,1,0.802152213,23,6420,51,1,414,1430.8,500,1,19260,1,0,64200,0,38520,3
Other,Front Collision,N,Total Loss,Single Vehicle Collision,High School,sales,own-child,MALE,YES,500/1000,NO,Low Risk,0,45,2,0,-40200,4911.05,3.499714076,1,0.220137880,16,12240,255,1,8849,1192.27,500,1,12240,1,0,67320,0,42840,0
Other,Side Collision,N,Major Damage,Multi-vehicle Collision,Associate,protective-serv,husband,MALE,unknown,250/500,YES,Low Risk,0,31,2,37700,0,17431.05,3.999711004,1,0.371039486,21,6920,143,4,231,1163.83,500,1,13840,1,0,76120,0,55360,0
